 # p_occup         n= 7          n= 9          n=11          n=13 
  0.567286  0.3565000000  0.2247000000  0.0586000000  0.0012000000
  0.567820  0.3444000000  0.2197000000  0.0669000000  0.0015000000
  0.568352  0.3534000000  0.2296000000  0.0701000000  0.0024000000
  0.568882  0.3513000000  0.2391000000  0.0762000000  0.0033000000
  0.569410  0.3585000000  0.2482000000  0.0842000000  0.0040000000
  0.569936  0.3672000000  0.2586000000  0.0998000000  0.0042000000
  0.570460  0.3711000000  0.2642000000  0.1069000000  0.0054000000
  0.570982  0.3801000000  0.2670000000  0.1123000000  0.0087000000
  0.571502  0.3939000000  0.2789000000  0.1207000000  0.0095000000
  0.572021  0.3868000000  0.2889000000  0.1367000000  0.0139000000
  0.572538  0.3894000000  0.2944000000  0.1404000000  0.0191000000
  0.573053  0.3945000000  0.3048000000  0.1521000000  0.0197000000
  0.573567  0.4045000000  0.3138000000  0.1617000000  0.0224000000
  0.574080  0.4033000000  0.3222000000  0.1691000000  0.0334000000
  0.574591  0.4176000000  0.3328000000  0.1888000000  0.0394000000
  0.575101  0.4043000000  0.3378000000  0.2034000000  0.0500000000
  0.575610  0.4081000000  0.3392000000  0.2081000000  0.0580000000
  0.576118  0.4211000000  0.3600000000  0.2294000000  0.0646000000
  0.576625  0.4272000000  0.3665000000  0.2479000000  0.0825000000
  0.577130  0.4387000000  0.3738000000  0.2590000000  0.0910000000
  0.577635  0.4344000000  0.3963000000  0.2713000000  0.1192000000
  0.578140  0.4414000000  0.3876000000  0.2914000000  0.1331000000
  0.578643  0.4410000000  0.3988000000  0.3042000000  0.1633000000
  0.579146  0.4457000000  0.4117000000  0.3271000000  0.1787000000
  0.579648  0.4441000000  0.4205000000  0.3323000000  0.2093000000
  0.580149  0.4594000000  0.4317000000  0.3572000000  0.2324000000
  0.580650  0.4696000000  0.4521000000  0.3854000000  0.2660000000
  0.581151  0.4698000000  0.4419000000  0.3942000000  0.3062000000
  0.581651  0.4761000000  0.4521000000  0.4151000000  0.3314000000
  0.582151  0.4779000000  0.4594000000  0.4258000000  0.3692000000
  0.582651  0.4819000000  0.4777000000  0.4667000000  0.4010000000
  0.583151  0.4944000000  0.4787000000  0.4617000000  0.4520000000
  0.583650  0.5017000000  0.4878000000  0.4882000000  0.4775000000
  0.584150  0.4904000000  0.4982000000  0.5104000000  0.5110000000
  0.584649  0.4944000000  0.5110000000  0.5257000000  0.5640000000
  0.585149  0.5087000000  0.5309000000  0.5444000000  0.5912000000
  0.585649  0.5107000000  0.5290000000  0.5667000000  0.6356000000
  0.586149  0.5135000000  0.5468000000  0.5862000000  0.6701000000
  0.586649  0.5238000000  0.5501000000  0.6062000000  0.7058000000
  0.587150  0.5253000000  0.5532000000  0.6216000000  0.7373000000
  0.587651  0.5267000000  0.5668000000  0.6330000000  0.7652000000
